# Unicode character frequencies computed on dumps of all wikipedia languages (288)
# Dumps downloader: https://github.com/aesuli/wikipediatools
# Html converted to plain text: https://github.com/aesuli/wikipedia-extractor
#
# Andrea Esuli
# http://www.esuli.it/
#
#'char'<tab>ord(char)<tab>freq
'ರ'	3248	3721389
'қ'	1179	3695341
'้'	3657	3691521
'ラ'	12521	3640025
'中'	20013	3604995
'্'	2509	3594661
'ம'	2990	3584853
'„'	8222	3569541
'ர'	2992	3546084
'ო'	4317	3541215
'î'	238	3531747
'ี'	3637	3526069
'ட'	2975	3470437
'다'	45796	3432795
'ย'	3618	3430589
'մ'	1396	3429279
'ల'	3122	3404476
'ộ'	7897	3380592
'ु'	2369	3375852
'ು'	3265	3369483
'ం'	3074	3338555
'ล'	3621	3315549
'ो'	2379	3269850
'მ'	4315	3255773
'έ'	941	3246930
'У'	1059	3244393
'ว'	3623	3222157
'ლ'	4314	3197329
'月'	26376	3196024
'ന'	3368	3178854
'ে'	2503	3178736
'γ'	947	3176749
'И'	1048	3170940
'گ'	1711	3166767
'ಾ'	3262	3144511
'ா'	3006	3137568
'ә'	1241	3100092
'կ'	1391	3096704
'Л'	1051	3092611
'ッ'	12483	3085086
'ग'	2327	3077060
'ז'	1494	3038596
'క'	3093	3034438
'ā'	257	3030902
'ク'	12463	3025830
'ি'	2495	3010302
'ക'	3349	3000893
'在'	22312	2975039
'ด'	3604	2973620
'ದ'	3238	2955514
'う'	12358	2913981
'ნ'	4316	2886322
'δ'	948	2872781
'द'	2342	2868987
'ท'	3607	2868151
'ğ'	287	2864622
'ನ'	3240	2857688
'의'	51032	2857463
'「'	12300	2852712
'」'	12301	2852461
'에'	50640	2849977
'æ'	230	2838318
'ા'	2750	2812333
'国'	22269	2793153
'ത'	3364	2786471
'ิ'	3636	2780027
'ു'	3393	2768629
'ல'	2994	2750885
'”'	8221	2746894
'ন'	2472	2733674
'ғ'	1171	2718651
'є'	1108	2711069
'।'	2404	2706941
'ま'	12414	2703810
'ன'	2985	2699648
'ज'	2332	2676353
'დ'	4307	2672467
'ή'	942	2658563
'ส'	3626	2657504
'よ'	12424	2648711
'வ'	2997	2642847
'_'	95	2639162
'་'	3851	2625194
'ತ'	3236	2601974
'ù'	249	2592025
'는'	45716	2578494
'З'	1047	2561894
'ド'	12489	2560928
'ω'	969	2559749
'>'	62	2555875
'ต'	3605	2551765
'Ф'	1060	2533780
'<'	60	2505191
'シ'	12471	2505164
'ാ'	3390	2502281
'յ'	1397	2498698
'ү'	1199	2497015
'本'	26412	2486915
'ө'	1257	2473675
'ะ'	3632	2450594
'տ'	1407	2442778
'行'	34892	2424791
'پ'	1662	2406748
'ң'	1187	2388282
'地'	22320	2369038
'ș'	537	2367035
'学'	23398	2349351
'ป'	3611	2344858
'ಲ'	3250	2328867
'త'	3108	2304421
'း'	4152	2289083
'ث'	1579	2279452
'ń'	324	2269079
'ბ'	4305	2260577
'إ'	1573	2257589
'タ'	12479	2256000
'ț'	539	2232697
'õ'	245	2228817
'ೆ'	3270	2228231
'บ'	3610	2217821
'ವ'	3253	2216722
'ಗ'	3223	2203709
'出'	20986	2201790
'く'	12367	2189913
'غ'	1594	2183271
'フ'	12501	2180436
'ற'	2993	2180016
'վ'	1406	2178406
'ာ'	4140	2176203
'آ'	1570	2170049
'ய'	2991	2141331
'ė'	279	2138350
'వ'	3125	2133490
'ロ'	12525	2133117
'ض'	1590	2131862
'χ'	967	2120465
'ئ'	1574	2116475
'是'	26159	2107567
'ప'	3114	2106457
'上'	19978	2094023
'ಕ'	3221	2082045
'ক'	2453	2080616
'レ'	12524	2079831
'ế'	7871	2078139
'ை'	3016	2076211
'로'	47196	2074660
'め'	12417	2069059
'थ'	2341	2060048
'ห'	3627	2057993
'మ'	3118	2053389
'ত'	2468	2049338
'하'	54616	2046733
'ค'	3588	2042632
'ọ'	7885	2034201
'യ'	3375	2030319
'後'	24460	2016614
'ذ'	1584	2007812
'部'	37096	2007237
'²'	178	1981473
'Х'	1061	1980847
'ジ'	12472	1978195
'ள'	2995	1965798
